- Partner{idDbo=1, shortName=aerial-yoga, name=Aerial Yoga, address=Tendlergasse 11, 1090 Wien}
- Partner{idDbo=2, shortName=aikido-vienna, name=Aikido Vienna, address=Stadlauerstraße 4, 1220 Wien}
- Partner{idDbo=3, shortName=alive-656-wien-1-bezirk, name=ALIVE 656 Wien - 1. Bezirk, address=Singerstraße 11b, 1010 Wien}
- Partner{idDbo=4, shortName=alive-656-wien-2-bezirk, name=ALIVE 656 Wien - 2. Bezirk, address=Praterstraße 38 / Geschäftslokal, 1020 Wien}
- Partner{idDbo=5, shortName=alive-656-wien-3-bezirk, name=ALIVE 656 Wien - 3. Bezirk, address=Invalidenstraße 15, 1030 Wien}
- Partner{idDbo=6, shortName=alive-656-wien-9-bezirk, name=ALIVE 656 Wien - 9. Bezirk, address=Viriotgasse 4, 1090 Wien}
- Partner{idDbo=7, shortName=amazing-yoga, name=Amazing Yoga, address=Diefenbachgasse 54A, 1150 Wien}
- Partner{idDbo=8, shortName=ananya-yogaraum-wien, name=ANANYA - Yogaraum Wien, address=Mollardgasse 34, 1060 Wien}
- Partner{idDbo=9, shortName=asanga-yoga, name=Asanga Yoga, address=Sandgasse 38/8, 1190 Wien}
- Partner{idDbo=10, shortName=ashtangavienna, name=Ashtangavienna, address=Herbeckstraße 27, 1180 Wien}
- Partner{idDbo=11, shortName=atelier-innere-mitte, name=Atelier Innere Mitte, address=Marxergasse 17 , 1030 Wien}
- Partner{idDbo=12, shortName=ayutthaya-muay-thai-gym, name=Ayutthaya Muay Thai Gym, address=Salesianergasse 2, 1030 Wien}
- Partner{idDbo=13, shortName=backyard-vienna, name=Backyard Vienna, address=Burggasse 95, 1070 Wien}
- Partner{idDbo=14, shortName=bali-yoga-wien, name=Bali Yoga Wien, address=Gußhausstraße 2, 1040 Wien}
- Partner{idDbo=15, shortName=bb-yoga, name=BB Yoga, address=Bergmillergasse 5, 1140 Wien}
- Partner{idDbo=16, shortName=beach-and-racket-sport-eden, name=Beach and Racket Sport Eden, address=An der Schanze 7, 1210 Wien}
- Partner{idDbo=17, shortName=beachsport-padel, name=Beachsport & Padel, address=Meiereistraße 20, 1020 Wien}
